input,output
-10.0,-1.1917935066868834
-9.9,-1.1246175774962521
-9.8,-1.0747761858937452
-9.700000000000001,-1.0391069135200355
-9.600000000000001,-1.0155502519063209
-9.500000000000002,-1.0028358631843801
-9.400000000000002,-1.0003070522247797
-9.300000000000002,-1.0078355937610102
-9.200000000000003,-1.0258055529147259
-9.100000000000003,-1.0551621887162876
-9.000000000000004,-1.097537906300029
-8.900000000000004,-1.1554880010774218
-8.800000000000004,-1.2329042201478735
-8.700000000000005,-1.3357436459546492
-8.600000000000005,-1.4733615191583496
-8.500000000000005,-1.661096725076824
-8.400000000000006,-1.925711243816011
-8.300000000000006,-2.318158732227632
-8.200000000000006,-2.9485055801181264
-8.100000000000007,-4.106031637605163
-8.000000000000007,-6.872850636526189
-7.9000000000000075,-21.73812592216609
-7.800000000000008,18.533819020281985
-7.700000000000008,6.520015775125427
-7.6000000000000085,3.979943591790595
-7.500000000000009,2.884876262379048
-7.400000000000009,2.280255601092714
-7.30000000000001,1.9008605518733797
-7.20000000000001,1.6437870291698107
-7.10000000000001,1.4608207869872198
-7.000000000000011,1.3264319003775233
-6.900000000000011,1.2259031870143915
-6.800000000000011,1.1502218617936772
-6.700000000000012,1.0936334532474374
-6.600000000000012,1.0523739224071444
-6.500000000000012,1.023973654499221
-6.400000000000013,1.0068618452954743
-6.300000000000013,1.0001413836103021
-6.2000000000000135,1.0034699015621207
-6.100000000000014,1.0170162703327075
-6.000000000000014,1.0414819265585495
-5.900000000000015,1.078192189533685
-5.800000000000015,1.1292805871191531
-5.700000000000015,1.1980168725844087
-5.600000000000016,1.2893811186802497
-5.500000000000016,1.4110944706372204
-5.400000000000016,1.5755651873620564
-5.300000000000017,1.8038353051515716
-5.200000000000017,2.1343957669738125
-5.100000000000017,2.6456584263940313
-5.000000000000018,3.525320086276723
-4.900000000000018,5.361574693946905
-4.8000000000000185,11.428704204340875
-4.700000000000019,-80.71895755286907
-4.600000000000019,-8.9164286077889
-4.5000000000000195,-4.743927548423275
-4.40000000000002,-3.2538010019041814
-4.30000000000002,-2.4950151339056266
-4.200000000000021,-2.039730601423067
-4.100000000000021,-1.7396630847261136
-4.000000000000021,-1.5298856564709995
-3.9000000000000212,-1.3775389168231924
-3.800000000000021,-1.2642741100532042
-3.700000000000021,-1.1791061933840274
-3.600000000000021,-1.1151275324336618
-3.500000000000021,-1.0678550471762305
-3.400000000000021,-1.0343420246634696
-3.3000000000000207,-1.0126789737609476
-3.2000000000000206,-1.0017081369649166
-3.1000000000000205,-1.0008655983486123
-3.0000000000000204,-1.0101086659346101
-2.9000000000000203,-1.029910490444637
-2.8000000000000203,-1.0613206212966635
-2.70000000000002,-1.1061064195204557
-2.60000000000002,-1.167012632683438
-2.50000000000002,-1.2482156514236333
-2.40000000000002,-1.356127640950971
-2.30000000000002,-1.500879467464907
-2.2000000000000197,-1.6992321181513868
-2.1000000000000196,-1.980801656010537
-2.0000000000000195,-2.402997961862645
-1.9000000000000195,-3.0932022021694525
-1.8000000000000194,-4.401367871818073
-1.7000000000000193,-7.761293995811653
-1.6000000000000192,-34.24713560020262
-1.500000000000019,14.136832901748468
-1.400000000000019,5.883490084728812
-1.300000000000019,3.738334128192632
-1.2000000000000188,2.7597036016219545
-1.1000000000000187,2.2046043888028826
-1.0000000000000187,1.8508157177080273
-0.9000000000000187,1.608725810474978
-0.8000000000000187,1.4353241996752426
-0.7000000000000187,1.3074592596523618
-0.6000000000000187,1.2116283144826459
-0.5000000000000188,1.1394939273138323
-0.4000000000000188,1.0857044283794408
-0.3000000000000188,1.046751601536775
-0.2000000000000188,1.0203388449892048
-0.1000000000000188,1.0050209184178132
