input,output
-10.0,0.703279516302656
-9.9,1.054243591527478
-9.8,1.6083984465205547
-9.700000000000001,2.578857749958322
-9.600000000000001,4.663829537057287
-9.500000000000002,12.271720576041378
-9.400000000000002,-41.34987970426392
-9.300000000000002,-8.964825233393887
-9.200000000000003,-5.3484987742618495
-9.100000000000003,-3.917719929026356
-9.000000000000004,-3.1219756730328654
-8.900000000000004,-2.592778887895335
-8.800000000000004,-2.1977730842754983
-8.700000000000005,-1.8778795145258163
-8.600000000000005,-1.6029067703031836
-8.500000000000005,-1.3559525651415536
-8.400000000000006,-1.1269288572299883
-8.300000000000006,-0.9095305943861471
-8.200000000000006,-0.6996777104714629
-8.100000000000007,-0.49464912549848605
-8.000000000000007,-0.292565097769135
-7.9000000000000075,-0.09205300343184078
-7.800000000000008,0.10798955020422318
-7.700000000000008,0.308584135740698
-7.6000000000000085,0.5108473369296685
-7.500000000000009,0.7161825740492004
-7.400000000000009,0.9265225996100739
-7.30000000000001,1.1446744881640667
-7.20000000000001,1.374857484524289
-7.10000000000001,1.62360803773577
-7.000000000000011,1.9014176768899917
-6.900000000000011,2.2259412546552584
-6.800000000000011,2.6289077086628563
-6.700000000000012,3.1729562679836385
-6.600000000000012,4.000333488719791
-6.500000000000012,5.5163220983645544
-6.400000000000013,9.514778176366603
-6.300000000000013,60.46605078924045
-6.2000000000000135,-10.99707036333447
-6.100000000000014,-4.414485848997444
-6.000000000000014,-2.476182718013498
-5.900000000000015,-1.5532284921388466
-5.800000000000015,-1.0204541443190929
-5.700000000000015,-0.6810575054094091
-5.600000000000016,-0.45302095305932966
-5.500000000000016,-0.2957657605918035
-5.400000000000016,-0.1866348198678202
-5.300000000000017,-0.1117268568574482
-5.200000000000017,-0.061806722511171086
-5.100000000000017,-0.030287269631428693
-5.000000000000018,-0.012150730058060067
-4.900000000000018,-0.0033312596819780336
-4.8000000000000185,-3.368849136075279E-4
-4.700000000000019,9.5080926418787E-7
-4.600000000000019,7.120622857864983E-4
-4.5000000000000195,0.004845433133408792
-4.40000000000002,0.01563077039914849
-4.30000000000002,0.03667525913554479
-4.200000000000021,0.07223854687819671
-4.100000000000021,0.12765683747601905
-4.000000000000021,0.21004753352621267
-3.9000000000000212,0.3295606049883171
-3.800000000000021,0.5017633676534049
-3.700000000000021,0.7525835877017651
-3.600000000000021,1.1297206536462323
-3.500000000000021,1.7331597980207727
-3.400000000000021,2.8165391464064258
-3.3000000000000207,5.272467769397227
-3.2000000000000206,16.103365600856897
-3.1000000000000205,-25.027976722575648
-3.0000000000000204,-8.005245047646685
-2.9000000000000203,-5.029310881322998
-2.8000000000000203,-3.7549258358991984
-2.70000000000002,-3.0194551627995065
-2.60000000000002,-2.5191321541501557
-2.50000000000002,-2.1397917439384124
-2.40000000000002,-1.8290797420897527
-2.30000000000002,-1.5597604844998718
-2.2000000000000197,-1.3163968932258177
-2.1000000000000196,-1.0896939110281985
-2.0000000000000195,-0.873804390854279
-1.9000000000000195,-0.6649249222526854
-1.8000000000000194,-0.460505629565404
-1.7000000000000193,-0.2587719586447191
-1.6000000000000192,-0.05841150051821641
-1.500000000000019,0.14165204598278974
-1.400000000000019,0.34244386873792454
-1.300000000000019,0.5451144749915975
-1.2000000000000188,0.7511373237611778
-1.1000000000000187,0.9625642266254797
-1.0000000000000187,1.1823949217845673
-0.9000000000000187,1.4151611161463091
-0.8000000000000187,1.6679213100060497
-0.7000000000000187,1.9520840195352847
-0.6000000000000187,2.2870315618090027
-0.5000000000000188,2.708070283581601
-0.4000000000000188,3.2862834140470096
-0.3000000000000188,4.188064633489348
-0.2000000000000188,5.913221453184453
-0.1000000000000188,10.961648586365508
0.09999999999998122,5.624513187653957
0.19999999999998122,3.2323960027876617
0.2999999999999812,2.112195194952021
0.39999999999998126,1.442338809262748
0.49999999999998124,0.9941771762305032
0.5999999999999812,0.6743205194328382
0.6999999999999812,0.4363833368144799
0.7999999999999812,0.25434160707906217
0.8999999999999811,0.11231579575905394
0.9999999999999811,NaN
1.0999999999999812,-0.08961853974553022
1.1999999999999813,-0.16149416474516248
1.2999999999999814,-0.2192353811861683
1.3999999999999815,-0.26553776793320377
1.4999999999999816,-0.3024583248322572
1.5999999999999817,-0.3315956037634626
1.6999999999999817,-0.3542115945119271
1.7999999999999818,-0.3713163702441487
1.899999999999982,-0.3837282137649803
1.999999999999982,-0.3921171848893872
2.099999999999982,-0.39703725039828985
2.199999999999982,-0.39895035430871095
2.299999999999982,-0.39824470664226846
2.399999999999982,-0.39524885758202033
2.4999999999999822,-0.39024265432683186
2.5999999999999823,-0.3834658615083367
2.6999999999999824,-0.37512500918014535
2.7999999999999825,-0.36539888140949606
2.8999999999999826,-0.3544429512589203
2.9999999999999827,-0.34239299164021064
3.0999999999999828,-0.3293680362816928
3.199999999999983,-0.31547282326485276
3.299999999999983,-0.30079982375792885
3.399999999999983,-0.28543093655550006
3.499999999999983,-0.2694389105232782
3.599999999999983,-0.25288854490621954
3.6999999999999833,-0.23583770656563682
3.7999999999999834,-0.21833819673209556
3.8999999999999835,-0.20043649158699883
3.9999999999999836,-0.18217437843765827
4.099999999999984,-0.16358950341671452
4.199999999999983,-0.1447158458017022
4.299999999999983,-0.1255841287645194
4.399999999999983,-0.10622217753076438
4.499999999999982,-0.08665523177521149
4.599999999999982,-0.06690621954071788
4.6999999999999815,-0.04699599649175014
4.799999999999981,-0.02694355907775248
4.899999999999981,-0.006766229354146395
4.9999999999999805,0.013520178101545762
5.09999999999998,0.033901211398423566
5.19999999999998,0.054363649510619234
5.299999999999979,0.07489538811282957
5.399999999999979,0.09548533429207791
5.499999999999979,0.1161233155576491
5.599999999999978,0.1367999964553346
5.699999999999978,0.15750680357602131
5.799999999999978,0.17823585961791552
5.899999999999977,0.19897992297221098
5.999999999999977,0.21973233289295785
6.0999999999999766,0.2404869610372855
6.199999999999976,0.26123816658588245
6.299999999999976,0.2819807563691884
6.3999999999999755,0.30270994857487726
6.499999999999975,0.323421338876503
6.599999999999975,0.34411087120234896
6.699999999999974,0.36477480930120626
6.799999999999974,0.38540971274204605
6.899999999999974,0.40601241292077966
6.999999999999973,0.42657999340293307
7.099999999999973,0.44710976943012326
7.199999999999973,0.46759927177282795
7.299999999999972,0.48804622977729467
7.399999999999972,0.5084485567115626
7.499999999999972,0.5288043366949381
7.599999999999971,0.5491118116419071
7.699999999999971,0.5693693703756211
7.7999999999999705,0.5895755376385539
7.89999999999997,0.6097289645127189
7.99999999999997,0.6298284193551864
8.09999999999997,0.6498727798447466
8.199999999999969,0.6698610251947439
8.299999999999969,0.6897922281599389
8.399999999999968,0.7096655501360031
8.499999999999968,0.7294802337104751
8.599999999999968,0.7492355975261549
8.699999999999967,0.768931031272955
8.799999999999967,0.7885659905882981
8.899999999999967,0.808139992355398
8.999999999999966,0.8276526109872733
9.099999999999966,0.8471034738611243
9.199999999999966,0.8664922589019488
9.299999999999965,0.8858186901766291
9.399999999999965,0.905082534571079
9.499999999999964,0.9242835995815397
9.599999999999964,0.9434217307676314
9.699999999999964,0.9624968085947727
9.799999999999963,0.9815087458873526
9.899999999999963,1.0004574861845985
9.999999999999963,1.0193430018710385
